Score,Year,Grade,Subject,Group
330,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
308,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
305,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
357,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
357,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
311,2016,7th,ELA,All Students
389,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
305,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
298,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
300,2016,7th,ELA,All Students
363,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
378,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
357,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
370,2016,7th,ELA,All Students
311,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
305,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
363,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
311,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
300,2016,7th,ELA,All Students
308,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
